ID	Name	Designator	Footprint	Quantity	URL
1	ARDUINO	UNO	U1	1	https://es.aliexpress.com/item/32985374826.html?spm=a2g0o.productlist.0.0.554e1432Ku2Eie&s=p&algo_pvid=7c04551e-4fb4-40d5-b53c-d9edbc5d3cd0&algo_expid=7c04551e-4fb4-40d5-b53c-d9edbc5d3cd0-0&btsid=90c43e11-138c-4376-be56-5a9cd6f4fff1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
2	204-10SURD/S530-A3	LED3V,LED3R,LED3AZ,LED3AM,LED_ON	LED-3MM/2.54	5	https://es.aliexpress.com/item/32847084816.html?spm=a2g0o.productlist.0.0.51c7110cIbq8db&s=p&algo_pvid=ea693d94-9d78-43a5-a385-8575b530984a&algo_expid=ea693d94-9d78-43a5-a385-8575b530984a-4&btsid=d6e6740b-a53d-400d-9f42-78cbc43af1f6&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
3	SWITCH-MOMENTARY-LED	SW-V,SW-R,SW-AZ,SW-AM	TACTILE-PTH-LED-12MM	4	https://es.aliexpress.com/item/32825221825.html?spm=a2g0s.9042311.0.0.76be63c0ipVcch
4	Header-Male-2.54_1x2	BAT_9V	HDR-2X1/2.54	1	https://es.aliexpress.com/item/32724478308.html?spm=a2g0o.productlist.0.0.67d042deEZ96IX&algo_pvid=72f145cc-ae28-4d0b-9183-482812a28ded&algo_expid=72f145cc-ae28-4d0b-9183-482812a28ded-8&btsid=681a12d3-fe21-42c4-a8f1-bd5a6afd5695&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
5	BUZZER	SG1	BUZZER-12MM-NS-KIT	1	https://es.aliexpress.com/item/32762426798.html?spm=a2g0s.9042311.0.0.5e4863c0sMzHNQ
6	R220	RESISTENCIA	AXIAL-0.3	4	https://es.aliexpress.com/item/32847096736.html?spm=a2g0o.productlist.0.0.18093487kCNNb0&s=p&algo_pvid=55b47e85-b2a0-45f8-90df-8e01621e0207&algo_expid=55b47e85-b2a0-45f8-90df-8e01621e0207-0&btsid=35b12199-632e-4399-bea8-63bd4ca7abfb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
7	R680	RESISTENCIA	AXIAL-0.3	11	https://es.aliexpress.com/item/32847096736.html?spm=a2g0o.productlist.0.0.18093487kCNNb0&s=p&algo_pvid=55b47e85-b2a0-45f8-90df-8e01621e0207&algo_expid=55b47e85-b2a0-45f8-90df-8e01621e0207-0&btsid=35b12199-632e-4399-bea8-63bd4ca7abfb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
8	HC-05	U4	HC-05	1	https://es.aliexpress.com/item/4000144439510.html?spm=a2g0o.productlist.0.0.4b6d2926CxDfzI&s=p&algo_pvid=7f1d0930-7d02-400f-99ab-e2e870c62b70&algo_expid=7f1d0930-7d02-400f-99ab-e2e870c62b70-1&btsid=1be10a77-153a-4de5-92a6-60a1ce9d5fe9&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
9	SWITCH-6x6x5_TH	SW+,SW-,SW-OK	SWITCH-6X6X5_TH	3	https://es.aliexpress.com/item/32856220123.html?spm=a2g0o.productlist.0.0.4a4c116eADjdhd&algo_pvid=20a88735-190a-4f97-acc3-98532add1f6d&algo_expid=20a88735-190a-4f97-acc3-98532add1f6d-0&btsid=51280152-ea14-4d68-bfc5-b14169182ff5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
10	LCD	OLED	0.96	1	https://es.aliexpress.com/item/32638662748.html?spm=a2g0o.productlist.0.0.52015c96hVftrw&algo_pvid=92681fc3-536a-41d1-b9f9-58a01bc37a4b&algo_expid=92681fc3-536a-41d1-b9f9-58a01bc37a4b-3&btsid=5aabb3ad-bcc2-4df8-83d9-840491a46f84&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
11	Header-Female-2.54_1x3	D12,A3	HDR-3X1/2.54	2	https://es.aliexpress.com/item/32724478308.html?spm=a2g0o.productlist.0.0.67d042deEZ96IX&algo_pvid=72f145cc-ae28-4d0b-9183-482812a28ded&algo_expid=72f145cc-ae28-4d0b-9183-482812a28ded-8&btsid=681a12d3-fe21-42c4-a8f1-bd5a6afd5695&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
12	Header-Male-2.54_1x4	I2C Connector	DIP-1X4P-2.54MM-M	1	https://es.aliexpress.com/item/32724478308.html?spm=a2g0o.productlist.0.0.67d042deEZ96IX&algo_pvid=72f145cc-ae28-4d0b-9183-482812a28ded&algo_expid=72f145cc-ae28-4d0b-9183-482812a28ded-8&btsid=681a12d3-fe21-42c4-a8f1-bd5a6afd5695&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_52
